id,preg_rate,chlamydia_rate,child_poverty_rate,adherents_rate,women_uninsured_rate,obesity_rate,hs_grad_rate,single_parent_rate,feature_risk_rate,preg_rate_index,chlamydia_rate_index,child_poverty_rate_index,adherents_rate_index,women_uninsured_rate_index,feature_risk_rate_index,preg_rate_color,chlamydia_rate_color,women_uninsured_rate_color,child_poverty_rate_color,adherents_rate_color,feature_rate_color,predicted_vals,civil_war
2130,41,501,12,31.5,0,33,62,11,0,3,7,1,1,2,4,"rgb(158,202,225)","rgb(68,85,15)","rgb(227,149,95)","rgb(132,247,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2150,32,474,9,28.1,0,27,81,10,0,2,7,0,0,2,4,"rgb(198,219,239)","rgb(68,85,15)","rgb(227,149,95)","rgb(200,252,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)","rgb(255,11,11)"
2164,53,388,25,70.4,0,34,76,15,0,5,7,6,7,2,4,"rgb(66,146,198)","rgb(68,85,15)","rgb(227,149,95)","rgb(0,124,132)","rgb(62,15,85)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2170,34,296,12,30,38,29,76,11,0,2,6,1,0,8,4,"rgb(198,219,239)","rgb(91,114,20)","rgb(100,51,18)","rgb(132,247,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2180,89,2185,29,47,0,31,47,18,0,8,8,7,3,2,4,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,92,98)","rgb(147,36,200)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2185,97,1589,17,16.3,0,37,54,19,0,8,8,3,0,2,4,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,219,234)","rgb(190,109,229)","rgb(105,105,105)","rgb(120,32,21)","rgb(255,11,11)"
2188,92,2503,25,31.7,0,32,44,21,0,8,8,6,1,2,4,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,124,132)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2220,30,505,11,32.6,37,29,76,10,0,1,7,0,1,8,4,"rgb(222,235,247)","rgb(68,85,15)","rgb(100,51,18)","rgb(200,252,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2240,34,118,20,28.4,0,33,43,9,0,2,2,4,0,2,4,"rgb(198,219,239)","rgb(179,219,51)","rgb(227,149,95)","rgb(0,188,200)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
2261,31,263,10,34.5,0,32,68,10,0,1,5,0,1,2,4,"rgb(222,235,247)","rgb(114,142,25)","rgb(227,149,95)","rgb(200,252,255)","rgb(177,80,224)","rgb(105,105,105)","rgb(120,32,21)","rgb(255,11,11)"
2270,104,2098,36,86.8,0,30,41,23,1,8,8,8,8,2,8,"rgb(8,48,107)","rgb(45,56,10)","rgb(227,149,95)","rgb(0,60,64)","rgb(41,10,56)","rgb(120,32,21)","rgb(105,105,105)","rgb(255,11,11)"
2282,47,145,16,24.6,43,29,92,14,0,4,3,2,0,8,4,"rgb(107,174,214)","rgb(161,200,36)","rgb(100,51,18)","rgb(13,240,255)","rgb(190,109,229)","rgb(105,105,105)","rgb(105,105,105)","rgb(255,11,11)"
